Derived 127 names of 2032 functions

== seed (20) ==
  0x800C47E0  task_body_800C47E0
  0x800CB42C  render_handler_cb42c_800CB42C
  0x800CB5AC  render_handler_cb5ac_800CB5AC
  0x800CB86C  render_handler_cb86c_800CB86C
  0x800CC1E4  entity_register_800CC1E4
  0x800CC218  entity_register_entry_800CC218
  0x800CC220  entity_alloc_slot_800CC220
  0x800CC47C  entity_dispatch_update_800CC47C
  0x800D4C24  display_channel_setup_800D4C24
  0x800D5484  render_submit_dispatch_800D5484
  0x800D5B10  channel_init_800D5B10
  0x800D5D04  scene_graph_render_800D5D04
  0x800D7600  scene_node_create_800D7600
  0x8010FE90  zone_parser_8010FE90
  0x801143CC  geometry_build_801143CC
  0x80148AFC  mode_register_entry_80148AFC
  0x8014A488  state_machine_dispatch_8014A488
  0x80151618  fiber_yield_80151618
  0x80151B74  mode_register_80151B74
  0x80167848  voodoo_dma_cmd_build_80167848

== self-string (16) ==
  0x800C42D8  graphics_init_800C42D8
  0x800C5E30  main_init_sound_800C5E30
  0x800C6D08  coin_volume_proc_800C6D08
  0x800E7C2C  grab_save_screen_800E7C2C
  0x8014E080  create_texture_8014E080
  0x8014FA48  div0_handler_8014FA48
  0x801503B8  unimplemented_handler_801503B8
  0x80151344  Command_80151344
  0x8015C050  sst1InitSli_8015C050
  0x80167BD8  count_80167BD8
  0x8016910C  snd_dbg_boot_info_8016910C
  0x80169AD0  snd_bank_showlist_80169AD0
  0x8016A068  snd_get_debug_8016A068
  0x8016A324  snd_dump_port_8016A324
  0x8016A75C  snd_load_file_8016A75C
  0x8016C240  snd_load_bank_playing_8016C240

== slug-string (91) ==
  0x800C4524  process_dispatch_returned_800C4524
  0x800C4778  dma_timeout_in_non_debug_mode_this_causes_a_rese_800C4778
  0x800C47B0  this_will_cause_reboot_in_non_debug_mode_800C47B0
  0x800C50AC  utime_800C50AC
  0x800C5830  starting_game_with_unknown_wave_800C5830
  0x800C6588  cmos_800C6588
  0x800C6960  diags_800C6960
  0x800C6A64  start_800C6A64
  0x800C6E30  volume_800C6E30
  0x800C7658  enabling_free_play_800C7658
  0x800C7B78  credits_800C7B78
  0x800C8164  rt_x_y_z_800C8164
  0x800C840C  xa_ya_za_800C840C
  0x800C8D18  found_sprite_in_back_list_800C8D18
  0x800CA278  error_load_camera_file_size_doesn_t_match_800CA278
  0x800CA47C  wanted_bytes_available_800CA47C
  0x800CA724  no_more_retries_800CA724
  0x800CAA0C  error_load_path_file_size_doesn_t_match_800CAA0C
  0x800CAD28  attractv_800CAD28
  0x800CC050  attempting_to_get_object_data_with_nonexistant_i_800CC050
  0x800D4294  hhou_raw_800D4294
  0x800D49B8  samhack_calib_800D49B8
  0x800D5E8C  top_left_800D5E8C
  0x800D66BC  loading_texmaps_for_800D66BC
  0x800D6868  error_surface_does_not_exist_800D6868
  0x800D6BC0  error_more_lights_in_this_wave_than_max_lights_800D6BC0
  0x800D6EB0  could_not_malloc_light_800D6EB0
  0x800D88A4  root_800D88A4
  0x800D8930  smoke_800D8930
  0x800D8A3C  spark_800D8A3C
  0x800D8B40  frek_blood_800D8B40
  0x800D8C08  rick_blood_800D8C08
  0x800D8CBC  btop_blood_800D8CBC
  0x800DE770  error_more_normals_than_i_can_handle_800DE770
  0x800E3240  end_of_wave_800E3240
  0x800E3B08  flamethrower_800E3B08
  0x800E4258  hits_800E4258
  0x800E4940  ehstd_800E4940
  0x800E4B1C  hstddf_wms_800E4B1C
  0x800E4E8C  high_scores_800E4E8C
  0x800E51D0  player_2_800E51D0
  0x800E5E78  could_not_open_readfile_in_file_copy_800E5E78
  0x800E5FC8  some_file_error_in_create_hstd_tex_800E5FC8
  0x800E6628  goodbye_800E6628
  0x800E721C  loadfram_800E721C
  0x800E745C  frame_800E745C
  0x800E7BD4  grab_raw_800E7BD4
  0x800E8F2C  warning_unknown_wave_0x_in_load_level_spawn_800E8F2C
  0x800E91E0  error_trying_to_spawn_unknown_type_0x_800E91E0
  0x800EA210  zdis_check_more_to_go_800EA210
  0x800EA354  could_not_find_master_id_in_zdie_list_800EA354
  0x800EA414  zdis_check_outdated_bad_id_800EA414
  0x800EA4E0  killed_zdie_800EA4E0
  0x800EC21C  cannot_malloc_particle_data_for_particle_800EC21C
  0x800EF4E0  bills_800EF4E0
  0x800F1C00  normal_800F1C00
  0x800F25E0  cmosgcr_entrysize_numentries_cmosgcrdone_800F25E0
  0x800F27C4  turmel0322_800F27C4
  0x800F4090  bad_bat_state_800F4090
  0x800F5288  heap_delta_800F5288
  0x800F5594  loadwave_800F5594
  0x800F5874  post_load_wave_heap_800F5874
  0x800F6A28  btopload_800F6A28
  0x800FF6F0  snow_malloc_failed_800FF6F0
  0x80107244  heap_80107244
  0x8010FC88  btbone_8010FC88
  0x8010FE88  unknown_keyword_in_movie_script_8010FE88
  0x80140E28  environment_80140E28
  0x801412BC  null_801412BC
  0x801442B4  bogus_free_list_801442B4
  0x80144398  bogus_on_heap_list_80144398
  0x80144A10  frexp_80144A10
  0x80144B00  domain_error_80144B00
  0x80144C28  matherr_80144C28
  0x80144CB0  ldexp_80144CB0
  0x801491C4  process_name_start_address_801491C4
  0x8014E4E4  attempt_to_delete_non_existant_texture_node_8014E4E4
  0x80150958  flags_80150958
  0x80150B04  sleep_80150B04
  0x80150CD0  there_were_no_processes_found_on_the_free_list_80150CD0
  0x80150DF8  count_80150DF8
  0x80156B70  initcode_revision_3_80156B70
  0x8015EA04  delay_process_system_by_printing_this_message_8015EA04
  0x8015FBB0  fx_glide_no_splash_8015FBB0
  0x8015FD64  fx_glide_lwm_8015FD64
  0x80161140  glide_ignore_sst_80161140
  0x80161D44  gr_reg_file_name_80161D44
  0x80165128  free_80165128
  0x801680B0  expected_and_got_801680B0
  0x8016A938  comp_bin_8016A938
  0x8016D538  sound_bank_status_8016D538

